id;news_content;date_detected;email_address;is_deleted;label_id_id
1;Buckinghamshire;2020-10-12;admin@localhost.com;false;1
2;copy Directives;2020-10-11;admin@localhost.com;false;2
3;compress;2020-10-11;admin@localhost.com;true;2
4;e-business microchip fuchsia;2020-10-11;admin@localhost.com;true;2
5;Tunisia invoice;2020-10-11;admin@localhost.com;false;1
6;transparent;2020-10-11;admin@localhost.com;true;2
7;port indexing Bermuda;2020-10-12;admin@localhost.com;false;2
8;Assimilated SMTP;2020-10-11;admin@localhost.com;false;1
9;Cambridgeshire optical Virginia;2020-10-11;admin@localhost.com;true;2
10;Personal Loan Account white deposit;2020-10-12;admin@localhost.com;true;1
